,实体,属性,值
243,136,1,306
244,136,1,312
245,136,1,314
246,136,1,317
247,136,1,322
248,136,1,324
249,136,1,326
250,136,1,329
251,136,1,334
252,136,1,341
253,136,1,347
254,137,1,139
255,137,1,142
256,137,1,175
257,137,1,179
258,137,1,198
259,137,1,201
260,137,1,208
261,137,1,235
262,137,1,236
263,137,1,246
264,137,1,248
265,137,1,250
266,137,1,253
267,137,1,258
268,137,1,275
269,137,1,278
270,137,1,281
271,137,1,282
272,137,1,296
273,137,1,314
274,137,1,337
275,137,1,341
276,137,1,351
277,137,1,354
278,138,1,142
279,138,1,168
280,138,1,248
281,138,1,256
282,138,1,258
283,138,1,262
284,138,1,268
285,138,1,270
286,138,1,271
287,138,1,273
288,138,1,275
289,138,1,293
290,138,1,296
291,138,1,312
292,138,1,317
293,138,1,324
294,138,1,331
295,138,1,341
296,138,1,354
297,139,1,140
298,139,1,141
299,140,1,142
300,140,1,148
301,140,1,175
302,140,1,179
303,140,1,198
304,140,1,201
305,140,1,208
306,140,1,235
307,140,1,236
308,140,1,244
309,140,1,248
310,140,1,250
311,140,1,253
312,140,1,255
313,140,1,258
314,140,1,262
315,140,1,266
316,140,1,271
317,140,1,273
318,140,1,275
319,140,1,281
320,140,1,282
321,140,1,285
322,140,1,296
323,140,1,300
324,140,1,304
325,140,1,324
326,140,1,337
327,140,1,341
328,140,1,347
329,140,1,354
330,141,1,253
331,142,35,143
332,142,36,144
333,142,37,145
334,142,38,146
335,142,39,147
336,147,39,271
337,148,40,149
338,148,1,150
339,150,1,151
340,150,1,168
341,151,41,152
342,151,41,153
343,151,35,154
344,151,42,155
345,151,43,156
346,157,44,158
347,157,45,159
348,157,33,160
349,157,46,161
350,158,44,187
351,158,44,253
352,158,44,275
353,158,44,276
354,158,44,296
355,158,44,314
356,158,44,329
357,161,46,271
358,161,44,331
359,162,47,163
360,162,33,164
361,162,48,165
362,162,49,166
363,162,1,167
364,163,47,168
365,163,42,175
366,163,42,182
367,163,47,187
368,163,47,229
369,163,42,230
370,163,47,255
371,163,42,258
372,163,47,270
373,163,47,271
374,165,76,253
375,167,1,208
376,167,1,236
377,167,1,244
378,167,1,286
379,168,50,169
380,168,45,170
381,168,51,171
382,168,1,172
383,170,45,187
384,170,45,229
385,170,45,230
386,170,45,235
387,170,45,281
388,170,45,329
389,172,1,331
390,173,52,174
391,175,38,176
392,175,53,177
393,175,54,178
394,177,59,211
395,177,59,217
396,177,59,250
397,177,59,255
398,177,59,266
399,177,59,270
400,177,59,300
401,177,59,302
402,177,59,306
403,177,59,328
404,177,59,331
405,179,38,180
406,179,55,181
407,182,41,183
408,182,41,184
409,182,56,185
410,182,1,186
411,187,57,188
412,187,38,189
413,190,54,191
414,190,55,192
415,190,58,193
416,190,39,194
417,191,54,195
418,195,59,196
419,195,60,197
420,198,47,199
421,198,23,200
422,201,61,202
423,201,62,203
424,201,63,204
425,203,62,253
426,203,62,301
427,205,33,206
428,205,54,207
429,208,64,209
430,208,65,210
431,211,47,212
432,211,66,213
433,211,23,214
434,211,67,215
435,211,54,216
436,212,47,217
437,212,47,306
438,212,47,331
439,212,47,354
440,215,67,217
441,217,33,218
442,217,33,219
443,217,33,220
444,217,33,221
445,217,33,222
446,217,68,223
447,217,69,224
448,217,70,225
449,217,71,226
450,217,49,227
451,217,1,228
452,230,38,231
453,230,72,232
454,230,57,233
455,230,39,234
456,234,39,337
457,236,73,237
458,236,1,238
459,238,1,286
460,238,1,301
461,239,41,240
462,239,35,241
463,239,36,242
464,239,1,243
465,244,74,245
466,246,75,247
467,248,52,249
468,250,47,251
469,250,1,252
470,252,1,255
471,252,1,268
472,252,1,270
473,252,1,302
474,252,1,312
475,252,1,331
476,252,1,354
477,253,1,254
478,256,1,257
479,258,38,259
480,258,77,260
481,258,72,261
482,262,1,263
483,262,1,264
484,266,47,267
485,267,47,326
486,268,46,269
487,271,1,272
488,272,1,285
489,273,78,274
490,276,50,277
491,278,47,279
492,278,33,280
493,279,47,337
494,282,79,283
495,282,80,284
496,286,47,287
497,286,59,288
498,286,33,289
499,286,33,290
500,286,33,291
501,286,1,292
502,287,42,351
503,293,41,294
504,293,35,295
505,296,47,297
506,296,82,298
507,296,83,299
508,302,84,303
509,304,59,305
510,305,59,354
511,306,33,307
512,306,33,308
513,306,33,309
514,306,33,310
515,306,85,311
516,312,75,313
517,314,33,315
518,314,1,316
519,317,77,318
520,317,42,319
521,317,72,320
522,317,46,321
523,322,47,323
524,324,86,325
525,326,1,327
526,329,87,330
527,331,41,332
528,331,41,333
529,334,20,335
530,334,1,336
531,337,59,338
532,337,33,339
533,337,54,340
534,341,88,342
535,341,89,343
536,341,90,344
537,341,91,345
538,341,92,346
539,347,93,348
540,347,52,349
541,347,94,350
542,351,72,352
543,351,95,353
