小鸣单车,通报_P,破产案
56,hasActor,云马C1
56,hasActor,淘宝
云马C1,众筹,淘宝
56,hasObject,电单车
云马C1,BelongTo,电单车
68,hasActor,上海
68,hasObject,共享单车限制令
上海,出,共享单车限制令
68,hasObject,共享单车新增车辆投放
上海,exit,共享单车新增车辆投放
74,hasActor,红旗连锁
74,hasRecipient,摩拜单车
红旗连锁,cooperate,摩拜单车
75,hasActor,ofo
75,hasObject,共享单车投放数量
ofo,锐减,共享单车投放数量
70,hasActor,永安行
70,hasRecipient,阜阳市出租汽车管理站
永安行,获_O,阜阳市出租汽车管理站
70,hasObject,网约车经营许可证
永安行,获_A,网约车经营许可证
阜阳市出租汽车管理站,获_P,网约车经营许可证
80,hasActor,南京
80,hasObject,无牌共享单车
南京,清理,无牌共享单车
80,hasObject,监管
南京,加大,监管
81,hasActor,摩拜单车
81,hasRecipient,印度
摩拜单车,join,印度
81,hasObject,中国共享单车平台
摩拜单车,BelongTo,中国共享单车平台
84,hasActor,摩拜单车
84,hasObject,智能停车点
摩拜单车,设,智能停车点
85,hasActor,ofo
85,hasRecipient,智享单车
ofo,接触,智享单车
97,hasActor,哈啰单车
97,hasObject,融资
哈啰单车,寻求,融资
78,hasActor,滴滴出行
78,hasRecipient,小蓝单车
滴滴出行,置换,小蓝单车
82,hasActor,北京通州区
82,hasObject,电子围栏试点
北京通州区,大限临近,电子围栏试点
86,hasActor,摩拜单车
86,hasRecipient,滴滴出行
摩拜单车,状告_O,滴滴出行
86,hasObject,共享单车车锁侵权
摩拜单车,状告_A,共享单车车锁侵权
滴滴出行,状告_P,共享单车车锁侵权
93,hasActor,ofo
93,hasRecipient,蚂蚁金服
ofo,获_O,蚂蚁金服
93,hasObject,战略投资
ofo,获_A,战略投资
蚂蚁金服,获_P,战略投资
93,hasObject,共享单车巨头
ofo,BelongTo,共享单车巨头
98,hasActor,交通部
98,hasObject,共享单车
交通部,回收清理,共享单车
98,hasActor,北京
北京,回收清理,共享单车
100,hasActor,滴滴出行
100,hasRecipient,小蓝单车
滴滴出行,运营,小蓝单车
105,hasActor,Gobeebike
105,hasRecipient,法国
Gobeebike,exit,法国
105,hasObject,香港共享单车
Gobeebike,BelongTo,香港共享单车
138,hasActor,北京西城区
138,hasObject,共享单车数量
北京西城区,控制,共享单车数量
143,hasObject,共享单车
143,hasObject,假冒二维码
共享单车,被贴,假冒二维码
144,hasActor,江城易单车
144,hasRecipient,武汉
江城易单车,停止运营_O,武汉
144,hasObject,公共自行车
江城易单车,停止运营_A,公共自行车
武汉,停止运营_P,公共自行车
147,hasActor,ofo
147,hasRecipient,理想国际大厦
ofo,exit,理想国际大厦
148,hasActor,摩拜单车
148,hasRecipient,日本
摩拜单车,投放_O,日本
148,hasObject,共享单车
摩拜单车,投放_A,共享单车
日本,投放_P,共享单车
149,hasActor,Ola
149,hasObject,共享单车服务
Ola,release,共享单车服务
149,hasObject,印度打车应用
Ola,BelongTo,印度打车应用
153,hasActor,微信
153,hasObject,共享单车
微信,解锁,共享单车
154,hasActor,ofo
154,hasObject,合并传言
ofo,辟谣,合并传言
154,hasActor,摩拜单车
摩拜单车,辟谣,合并传言
155,hasActor,云马电单车
155,hasObject,分时租赁
云马电单车,release,分时租赁
158,hasActor,ofo
158,hasObject,E2-1轮融资
ofo,完成,E2-1轮融资
162,hasActor,美团
162,hasObject,用户账号互通
美团,release,用户账号互通
162,hasActor,摩拜单车
美团,cooperate,摩拜单车
摩拜单车,release,用户账号互通
163,hasActor,上海凤凰自行车
163,hasRecipient,ofo
上海凤凰自行车,达成_O,ofo
163,hasObject,调解协议
上海凤凰自行车,达成_A,调解协议
ofo,达成_P,调解协议
537,hasActor,Uber
537,hasObject,新功能
Uber,release,新功能
537,hasObject,共享单车应用
Uber,一键切换,共享单车应用
538,hasActor,哈啰单车
538,hasObject,单车回收情况
哈啰单车,公开,单车回收情况
539,hasActor,ofo
539,hasRecipient,北九州市
ofo,投运,北九州市
541,hasActor,摩拜单车
541,hasActor,ofo
542,hasActor,ofo
542,hasRecipient,中信银行
ofo,cooperate,中信银行
543,hasActor,Lyft
543,hasRecipient,Motivate
Lyft,acquisition,Motivate
543,hasObject,美国打车服务
Lyft,BelongTo,美国打车服务
543,hasObject,北美最大单车出租公司
Motivate,BelongTo,北美最大单车出租公司
544,hasActor,永安行
544,hasRecipient,IPO
永安行,暂缓,IPO
545,hasActor,美国芝加哥
545,hasObject,共享单车乱停放
美国芝加哥,整治,共享单车乱停放
557,hasActor,北京通州区
557,hasObject,共享单车电子围栏
北京通州区,试点,共享单车电子围栏
559,hasActor,摩拜单车
559,hasObject,融资
摩拜单车,获,融资
560,hasActor,绍兴
560,hasRecipient,小鸣单车
绍兴,查扣,小鸣单车
562,hasActor,ofo
562,hasObject,被执行人
ofo,列入,被执行人
565,hasActor,ofo
565,hasObject,定制版“二八车”
ofo,release,定制版“二八车”
566,hasActor,摩拜单车
566,hasObject,E轮融资
摩拜单车,完成,E轮融资
567,hasActor,交通部
567,hasObject,办文报批程序
交通部,启动,办文报批程序
569,hasActor,摩拜单车
569,hasRecipient,悉尼
摩拜单车,join,悉尼
570,hasActor,美团
570,hasObject,收购协议
美团,达成,收购协议
570,hasActor,摩拜单车
美团,cooperate,摩拜单车
摩拜单车,达成,收购协议
571,hasActor,58速运
571,hasActor,摩拜单车
58速运,cooperate,摩拜单车
